Control #,CYCLEDATE,ASOFDATE,REPORTDATE,PAYOFFUID,LOANID,ACCOUNTID,PORTFOLIOID,PORTFOLIONAME,PROGRAMID,EXECUTIONDATE,ORIGINATIONDATE,INDIRECT_PURCHASEDATE,MATURITYDATE,LOANAMOUNT,TERM,INTERESTRATE,APR,ORIGINATIONFEE,INDIRECT_LENDERORIGINATIONFEE,LENDERFUNDINGAMOUNT,INDIRECT_AMOUNTORIGINATIONINTEREST,PREMIUMPRICE,PREMIUMPAID,TENANTNAME,CHANNEL,LOANPURPOSE,LOANTIER,CPVERSION,APPLICANTRESIDENCESTATE,EMPLOYMENTSTATUS,HOUSINGINFORMATION,ANNUALINCOME,BUREAUSCORE,BUREAUSCORETYPE,NDI,DTI,APPMOSSINCEDEROGPUBREC,MLAFLAG,REFRESHEDBUREAUSCORE,REFRESHEDBUREAUSCOREDATE,AGEINMONTHS,FIRSTSCHEDULEDPAYMENTDATE,PAYMENTFREQUENCY,PAYMENTANNIVERSARYDAY,REGULARPAYMENTAMOUNT,LASTPAYMENTDATE,LASTPAYMENTAMOUNT,ACCRUEDINTEREST,BEGINNINGBALANCE,INTERESTPAYMENTAMOUNT,PRINCIPALPAYMENTAMOUNT,RECOVERYPAYMENTAMOUNT,TOTALPAYMENTCOLLECTED,REMAININGPRINCIPAL,SERVICINGFEEAMOUNT,REMITTANCEAMOUNT,INTERESTPAIDTODATE,PRINCIPALPAIDTODATE,RECOVERIESPAIDTODATE,TERMSREMAINING,CURRENTMATURITYDATE,TOTALPRINCIPALWAIVED,NEXTPAYMENTDUEDATE,NEXTPRINCIPALAMOUNTDUE,NEXTINTERESTAMOUNTDUE,SERVICERFEERATE,ANCILLARYFEES,NETPREMIUM,SECONDARY_BUYER,SECONDARY_SELLER,SECONDARY_PURCHASEDATE,SECONDARY_SOLDDATE,LOANCLOSEDDATE,Status,DAYSPASTDUE,PASTDUEINTEREST,CHARGEOFFDATE,PRINCIPALBALANCEATCHARGEOFF,INTERESTBALANCEATCHARGEOFF,LASTCOLLECTIONSCONTACTDATE,REASONFORDELINQUENCY,BANKRUPTCYFLAG,BANKRUPTCYDATE,BANKRUPTCYCHAPTER,MODFLAG,PREVIOUSMODIFICATION,MODREQUESTDATE,STATUSPRIORTOMODIFICATION,LOANBALANCEATMODIFICATION,MODREASON,MODTYPE,MODSTARTDATE,MODENDDATE,MODPROCESSINGDATE,MODMATURITYDATE,MODINTERESTRATE,MODPAYMENTAMOUNT,NUMBERPAYMENTSDEFERRED,PAYMENTFORBEARANCEAMOUNT,BALLOONPAYMENT,MODTERMEXTENSION,SCRAFLAG,SCRASTARTDATE,SCRAENDDATE,CPDFLAG
54,6/1/25,6/30/25,6/30/25,272ea105-4acc-427b-b997-7c59b67887af,HM7C59B67887AF,173306,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/22/25,4/25/25,5/7/25,4/25/30,25000,60,0.1985,24.458,2250,0,22750,163.15,-3.5,-875,Happy Money,Affiliates,core,T3,7.5,CO,Full Time,Mortgage,210000,673,FICO,8208.88,0.226,-4,N,,,2,5/25/25,Monthly,25,660.26,6/25/25,660.53,66.63,24747.35,417.21,243.32,0,660.53,24504.03,20.3,640.23,825.09,495.97,0,58,4/25/30,0,7/25/25,,,1.00%,0,-875,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
55,6/1/25,6/30/25,6/30/25,825ebbc8-820d-4028-aeaf-f2a5daa60c6e,HMF2A5DAA60C6E,319980,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/27/25,5/30/25,6/18/25,5/30/27,10000,24,0.1475,21.111,600,0,9400,76.78,-3.5,-350,Happy Money,Affiliates,Debt Consolidation,T4,7.5,IL,Full Time,Living with Family/Friends,90000,667,FICO,3903.55,0.181,-4,N,,,1,6/30/25,Monthly,30,483.68,6/30/25,483.82,0,10000,125.27,358.55,0,483.82,9641.45,8.21,475.61,125.27,358.55,0,24,5/30/27,0,7/30/25,,,1.00%,0,-350,,CRB_FORTRESS,6/18/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
56,6/1/25,6/30/25,6/30/25,f9024957-c033-4284-8170-00fec5fb2a4d,HM00FEC5FB2A4D,319339,56,Fortress,,5/7/25,5/12/25,5/21/25,5/12/27,10000,24,0.1615,24.035,725,0,9275,39.82,-3.5,-350,Happy Money,Affiliates,Debt Consolidation,T5,7.5,CA,Full Time,Living with Family/Friends,33000,678,FICO,1016.89,0.451,-4,N,,,1,6/12/25,Monthly,12,490.35,6/18/25,490.54,51.36,10000,163.71,326.83,0,490.54,9673.17,8.06,482.48,163.71,326.83,0,23,5/12/27,0,7/12/25,,,1.00%,0,-350,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
57,6/1/25,6/30/25,6/30/25,82c240a7-30e1-4e55-aecc-fa3f433c8784,HMFA3F433C8784,0012M00002TBDoqQAH,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/14/25,5/19/25,6/4/25,5/19/28,30000,36,0.182,23.756,2175,0,27825,239.34,-3.5,-1050,Happy Money,Unattributed,Debt Consolidation,T4,7.5,CA,Full Time,Other,100000,749,FICO,2078.32,0.429,-4,N,,,1,6/19/25,Monthly,19,1087.58,6/19/25,1088.09,161.12,30000,463.73,624.36,0,1088.09,29375.64,24.45,1063.64,463.73,624.36,0,35,5/19/28,0,7/19/25,,,1.00%,0,-1050,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
58,6/1/25,6/30/25,6/30/25,8bdf16ab-9af6-4504-9548-de205e4f47e6,HMDE205E4F47E6,159852,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/23/25,4/28/25,5/7/25,4/28/30,18000,60,0.1972,24.458,1665,0,16335,87.52,-3.5,-630,Happy Money,Affiliates,Debt Consolidation,T3,7.5,MS,Full Time,Own,59676,718,FICO,2181.56,0.318,-4,N,,,2,5/28/25,Monthly,28,474.09,6/28/25,474.28,19.06,17817.47,298.42,175.86,0,474.28,17641.61,14.63,459.65,590.17,358.39,0,58,4/28/30,0,7/28/25,,,1.00%,0,-630,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
59,6/1/25,6/30/25,6/30/25,8c7abdab-dc6a-4174-9af6-7b085ad466fa,HM7B085AD466FA,118244,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/14/25,4/17/25,5/7/25,4/17/30,20000,60,0.234,28.756,2000,0,18000,256.44,-3.5,-700,Happy Money,Affiliates,Debt Consolidation,T5,7.4,GA,Full Time,None,65000,700,FICO,1814.73,0.395,-4,N,,,,5/17/25,Monthly,,568.42,6/2/25,20019.24,0,19815.98,203.26,19815.98,0,20019.24,0,0.54,20018.7,587.92,20000,0,0,5/17/25,0,,,,1.00%,0,-700,,CRB_FORTRESS,5/7/25,,6/2/25,Paid In Full,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
60,6/1/25,6/30/25,6/30/25,5a25c83d-d6af-4c7e-954a-81238b85df0b,HM81238B85DF0B,281226,56,Fortress,,5/5/25,5/8/25,5/21/25,5/8/28,21000,36,0.1956,25.983,1732.5,0,19267.5,146.3,-3.5,-735,Happy Money,Affiliates,core,T5,7.5,OH,Full Time,Own,88000,653,FICO,4171.69,0.152,-4,N,,,1,6/8/25,Monthly,8,775.74,5/29/25,800,350.45,20436.33,0,0,0,0,20436.33,16.8,-16.8,236.33,563.67,0,35,5/8/28,0,7/8/25,,,1.00%,0,-735,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
61,6/1/25,6/30/25,6/30/25,6b3dc843-35bc-41f8-a0f3-370af1bb9eab,HM370AF1BB9EAB,118340,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/16/25,4/21/25,5/7/25,4/21/29,20000,48,0.213,26.888,1800,0,18200,186.74,-3.5,-700,Happy Money,Unattributed,Debt Consolidation,T4,7.4,TX,Full Time,Living with Family/Friends,75000,696,FICO,2820.27,0.312,-4,N,,,2,5/21/25,Monthly,21,622.55,6/21/25,622.78,102.21,19727.36,356.88,265.9,0,622.78,19461.46,16.14,606.64,707.02,538.54,0,46,4/21/29,0,7/21/25,,,1.00%,0,-700,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
62,6/1/25,6/30/25,6/30/25,03849dc8-848f-4b62-bec6-10a2271fe010,HM10A2271FE010,319555,56,Fortress,,5/13/25,5/16/25,6/4/25,5/16/30,29000,60,0.2075,25.971,2900,0,26100,313.24,-3.5,-1015,Happy Money,Affiliates,Debt Consolidation,T4,7.5,OH,Full Time,Mortgage,102000,678,FICO,3847.16,0.271,-4,N,,,1,6/16/25,Monthly,16,780.47,6/16/25,781,228.66,29000,511.08,269.92,0,781,28730.08,23.73,757.27,511.08,269.92,0,59,5/16/30,0,7/16/25,,,1.00%,0,-1015,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
63,6/1/25,6/30/25,6/30/25,80fb2d26-1eef-4152-a31f-a5a107f9d079,HMA5A107F9D079,118087,56,Fortress,,4/9/25,4/14/25,4/23/25,4/14/29,11500,48,0.2115,26.897,1063.75,0,10436.25,59.97,-3.5,-402.5,Happy Money,Affiliates,Debt Consolidation,T4,7.4,CA,Full Time,None,103000,694,FICO,4417.94,0.16,-4,N,,,2,5/14/25,Monthly,14,357.03,6/14/25,357.17,103.74,11342.74,203.75,153.42,0,357.17,11189.32,9.25,347.92,403.66,310.68,0,46,4/14/29,0,7/14/25,,,1.00%,0,-402.5,,CRB_FORTRESS,4/23/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
64,6/1/25,6/30/25,6/30/25,c83f1261-6f26-4d12-bf7d-8d05b201d848,HM8D05B201D848,173357,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/21/25,4/24/25,5/7/25,4/24/28,27000,36,0.192,24.774,1957.5,0,25042.5,184.64,-3.5,-945,Happy Money,Affiliates,Debt Consolidation,T4,7.5,AR,Full Time,Living with Family/Friends,92000,702,FICO,3131.67,0.281,-4,N,,,2,5/24/25,Monthly,24,992.44,6/24/25,992.69,81.66,26433.39,431.05,561.64,0,992.69,25871.75,21.62,971.07,857.13,1128.25,0,34,4/24/28,0,7/24/25,,,1.00%,0,-945,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
65,6/1/25,6/30/25,6/30/25,3982cbd8-ad40-4fdb-a7f2-98860438cbcc,HM98860438CBCC,319468,56,Fortress,,5/10/25,5/14/25,5/21/25,5/14/28,13000,36,0.182,23.755,942.5,0,12057.5,45.38,-3.5,-455,Happy Money,Unattributed,Debt Consolidation,T4,7.5,TX,Full Time,Own,53326,686,FICO,1694.82,0.418,-4,N,,,1,6/14/25,Monthly,14,471.29,6/14/25,471.5,101.56,13000,200.95,270.55,0,471.5,12729.45,10.56,460.94,200.95,270.55,0,35,5/14/28,0,7/14/25,,,1.00%,0,-455,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
66,6/1/25,6/30/25,6/30/25,083dd11a-901f-466c-a334-86cc1d0a073e,HM86CC1D0A073E,0012M00002TBCmIQAX,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/29/25,5/2/25,5/21/25,5/2/27,5000,24,0.1665,24.552,362.5,0,4637.5,43.34,-3.5,-175,Happy Money,Unattributed,Debt Consolidation,T5,7.5,CA,Full Time,Living with Family/Friends,65416.77,645,FICO,2428.23,0.285,-4,N,,,1,6/2/25,Monthly,2,246.37,6/2/25,246.47,61.62,5000,70.71,175.76,0,246.47,4824.24,3.97,242.5,70.71,175.76,0,23,5/2/27,0,7/2/25,,,1.00%,0,-175,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
67,6/1/25,6/30/25,6/30/25,bea47b9b-d709-4bd4-9c68-2d9104a197d6,HM2D9104A197D6,118292,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/15/25,4/18/25,5/7/25,4/18/27,10000,24,0.1532,22.026,625,0,9375,79.75,-3.5,-350,Happy Money,Unattributed,Debt Consolidation,T4,7.4,CA,Full Time,Mortgage,68500,644,FICO,3611.68,0.152,-4,N,,,2,5/18/25,Monthly,18,486.39,6/18/25,486.48,46.73,9639.44,125.42,361.06,0,486.48,9278.38,7.8,478.68,251.34,721.62,0,22,4/18/27,0,7/18/25,,,1.00%,0,-350,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
68,6/1/25,6/30/25,6/30/25,daeb5048-5e09-429e-afd8-3c94c59b0202,HM3C94C59B0202,319849,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/22/25,5/28/25,6/4/25,5/28/30,18000,60,0.205,25.707,1800,0,16200,70.77,-3.5,-630,Happy Money,Affiliates,Debt Consolidation,T4,7.5,MT,Full Time,Living with Family/Friends,36720,716,FICO,1670.11,0.254,-4,N,,,1,6/28/25,Monthly,28,481.91,6/13/25,500,168.64,18000,161.75,338.25,0,500,17661.75,14.63,485.37,161.75,338.25,0,59,5/28/30,0,7/28/25,,,1.00%,0,-630,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
69,6/1/25,6/30/25,6/30/25,c3d3357a-b6a5-46e4-8d12-12791ed10539,HM12791ED10539,0012M00002muDDsQAM,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/13/25,5/16/25,6/4/25,5/16/27,10000,24,0.1432,21.015,625,0,9375,74.54,-3.5,-350,Happy Money,Unattributed,Debt Consolidation,T4,7.5,CA,Full Time,Living with Family/Friends,200000,699,FICO,8254.01,0.144,-4,N,,,1,6/16/25,Monthly,16,481.64,6/20/25,481.81,37.88,10000,137.31,344.5,0,481.81,9655.5,8.12,473.69,137.31,344.5,0,23,5/16/27,0,7/16/25,,,1.00%,0,-350,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
70,6/1/25,6/30/25,6/30/25,4ff6bd6a-b6a3-4e82-bba6-8b886430607a,HM8B886430607A,159781,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/18/25,4/23/25,5/7/25,4/23/28,10000,36,0.205,26.943,825,0,9175,78.63,-3.5,-350,Happy Money,Affiliates,Debt Consolidation,T5,7.4,PA,Full Time,Rent,67400,659,FICO,2851.29,0.235,-4,N,,,,5/23/25,Monthly,,374.19,6/14/25,9915.22,0,9794.2,121.02,9794.2,0,9915.22,0,3.49,9911.73,289.51,10000,0,0,5/23/25,0,,,,1.00%,0,-350,,CRB_FORTRESS,5/7/25,,6/14/25,Paid In Full,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
71,6/1/25,6/30/25,6/30/25,755bf378-3e29-4821-98ce-a93a27619236,HMA93A27619236,244546,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/30/25,5/5/25,5/21/25,5/5/27,10000,24,0.1665,24.552,725,0,9275,72.99,-3.5,-350,Happy Money,Affiliates,Debt Consolidation,T5,7.5,CO,Disability,Other,115550,641,FICO,4047.12,0.262,-4,N,,,1,6/5/25,Monthly,5,492.74,6/1/25,492.94,127.4,10000,123.16,369.78,0,492.94,9630.22,7.92,485.02,123.16,369.78,0,23,5/1/27,0,7/1/25,,,1.00%,0,-350,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
72,6/1/25,6/30/25,6/30/25,b7a93668-0020-49dd-986f-63604b49db64,HM63604B49DB64,319687,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/18/25,5/21/25,6/4/25,5/21/29,10000,48,0.208,26.379,900,0,9100,79.78,-3.5,-350,Happy Money,Affiliates,core,T4,7.5,CA,Full Time,Rent,50000,655,FICO,1417.34,0.436,-4,N,,,1,6/21/25,Monthly,21,308.58,6/21/25,308.77,50.61,10000,176.66,132.11,0,308.77,9867.89,8.18,300.59,176.66,132.11,0,47,5/21/29,0,7/21/25,,,1.00%,0,-350,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
73,6/1/25,6/30/25,6/30/25,1687bf8f-f243-4901-b947-ccf48e8890eb,HMCCF48E8890EB,215267,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/29/25,5/2/25,5/21/25,5/2/30,23300,60,0.2,25.18,2330,0,20970,242.58,-3.5,-815.5,Happy Money,Unattributed,Debt Consolidation,T4,7.5,TX,Full Time,Mortgage,86000,689,FICO,2691.65,0.376,-4,N,,,1,6/2/25,Monthly,2,617.31,6/30/25,617.71,0,23027,403.76,213.95,0,617.71,22813.05,18.92,598.79,748.47,486.95,0,59,5/2/30,0,8/2/25,,,1.00%,0,-815.5,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
74,6/1/25,6/30/25,6/30/25,6d6666d7-4180-418e-b45a-e55c766b12d3,HME55C766B12D3,187519,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/25/25,4/30/25,5/7/25,4/30/29,15000,48,0.2315,29.5,1500,0,13500,66.6,-3.5,-525,Happy Money,Affiliates,Debt Consolidation,T5,7.5,AZ,Full Time,Mortgage,65000,698,FICO,1540.66,0.541,-4,N,,,2,5/30/25,Monthly,30,482.01,6/28/25,482.16,98.17,15000,482.16,0,0,482.16,15000,12.32,469.84,482.16,0,0,46,4/30/29,0,6/30/25,,,1.00%,0,-525,,CRB_FORTRESS,5/7/25,,,Current,0,482.16,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
75,6/1/25,6/30/25,6/30/25,f09dd043-acf7-484f-bf24-f48c96d59c4c,HMF48C96D59C4C,118193,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/11/25,4/16/25,4/23/25,4/16/30,20000,60,0.234,28.756,2000,0,18000,89.75,-3.5,-700,Happy Money,Affiliates,core,T5,7.4,IL,Full Time,Rent,43270,680,FICO,1466.78,0.369,-4,N,,,2,5/16/25,Monthly,16,568.42,6/16/25,568.68,176.29,19815.98,393.82,174.86,0,568.68,19641.12,16.22,552.46,778.48,358.88,0,58,4/16/30,0,7/16/25,,,1.00%,0,-700,,CRB_FORTRESS,4/23/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
