LOAN_ID,PORTFOLIO_ID,PORTFOLIO_NAME,FRAUD_TYPE,FRAUD_CONFIRMED_DATE,LOAN_STATUS,LOAN_CLOSED_DATE,REPURCHASED_BY_HAPPY_MONEY,CURRENT_INVESTOR
78146,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,USAlliance FCU
78146,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,USAlliance FCU
78146,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,USAlliance FCU
83536,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
83536,77,Alliant CU,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
83536,77,Alliant CU,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
83536,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
83536,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
94958,181,BankruptcyWatch Primary Case Terminated,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
94958,64,Enrolled In AutoPay,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
94958,77,Alliant CU,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
94958,77,Alliant CU,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
94958,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
94958,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
94958,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-23,Charged Off,,No,Alliant CU
106437,73,Do Not SMS,TBD - Needs Business Logic,2025-01-22,Charged Off,2025-01-22,No,Happy Money
106437,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-22,Charged Off,2025-01-22,No,Happy Money
106437,72,Do Not Call,TBD - Needs Business Logic,2025-01-22,Charged Off,2025-01-22,No,Happy Money
106437,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-22,Charged Off,2025-01-22,No,Happy Money
106437,198,FEB,TBD - Needs Business Logic,2025-01-22,Charged Off,2025-01-22,No,Happy Money
106437,75,Do Not Mail,TBD - Needs Business Logic,2025-01-22,Charged Off,2025-01-22,No,Happy Money
106437,198,FEB,TBD - Needs Business Logic,2025-01-22,Charged Off,2025-01-22,No,Happy Money
106437,17,Identity Theft Fraud - Confirmed,TBD - Needs Business Logic,2025-01-22,Charged Off,2025-01-22,No,Happy Money
106437,74,Do Not Email,TBD - Needs Business Logic,2025-01-22,Charged Off,2025-01-22,No,Happy Money
115311,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-21,Charged Off,,No,Alliant CU
115311,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-21,Charged Off,,No,Alliant CU
115311,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-21,Charged Off,,No,Alliant CU
115311,77,Alliant CU,TBD - Needs Business Logic,2025-01-21,Charged Off,,No,Alliant CU
115311,77,Alliant CU,TBD - Needs Business Logic,2025-01-21,Charged Off,,No,Alliant CU
115311,64,Enrolled In AutoPay,TBD - Needs Business Logic,2025-01-21,Charged Off,,No,Alliant CU
70530,77,Alliant CU,TBD - Needs Business Logic,2025-01-17,Active,,No,Happy Money
70530,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-17,Active,,No,Happy Money
70530,77,Alliant CU,TBD - Needs Business Logic,2025-01-17,Active,,No,Happy Money
70530,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-17,Active,,No,Happy Money
97616,86,GreenState CU,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Hive (Participation)
