Assignment Date,Status,Batch,Product,Original Creditor,Account Public ID,External Account ID,Creditor Recalled?,Has Valid SSN?,Has User Name?,Has Email?,Has Phone?,Has Address?,No Origination Date,Is Deceased?,Is Bankruptcy?,User ID,Account ID,Charge Off Amount ($),Charge Off Date,Last payment Amount ($),Last Payment Date,Face Value ($)
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0735707144,P392E672480F2,False,True,True,True,True,True,False,False,True,"485,536","535,514","14,825.64","Jun 22, 2025",910.47,"Jan 22, 2025","15,970.29"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0736952328,P7D583817B396,False,True,True,True,True,True,False,False,True,"485,553","535,533","11,994.69","Apr 12, 2025",777.73,"Oct 16, 2024","12,652.62"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0737214472,PFC011E1132E2,False,True,True,True,True,True,False,False,True,"485,557","535,537","8,967.16","Apr 23, 2025",844.48,"Feb 24, 2025","9,203.31"
"Aug 5, 2025",Bankrupt,HM_AUG_25_BFCU_25Q2,Personal Loan,"Happy Money, Originated by Blue Federal Credit Union",BA-0640811016,P533B4CB53127,False,True,True,True,True,True,False,False,True,"484,101","534,066","25,511.65","May 16, 2025",833.25,"Oct 16, 2024","26,867.07"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0638058504,P43DA8CB2ED8D,False,True,True,True,True,True,False,False,True,"484,059","534,024","1,938.32","Apr 25, 2025",273.84,"Dec 13, 2024","2,009.13"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0650051592,P9D4FB00B87CE,False,True,True,True,True,True,False,False,True,"484,241","534,207","16,636.04","Apr 27, 2025",604.8,"Dec 5, 2024","17,210.33"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0655818760,P79D5368669CA,False,True,True,True,True,True,False,False,True,"484,327","534,295","16,653.2","Apr 15, 2025",629.61,"Sep 17, 2024","17,448.21"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0657784840,P994BFCFDCDED,False,True,True,True,True,True,False,False,True,"484,357","534,325","27,517.59","Jun 10, 2025",711.34,"Jan 10, 2025","29,220.24"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0659750920,P0D264F19B3B4,False,True,True,True,True,True,False,False,True,"484,387","534,355","37,441.26","Jun 19, 2025",903.99,"Jan 19, 2025","39,422.51"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0665976840,P7DC0A4D4764B,False,True,True,True,True,True,False,False,True,"484,480","534,450","20,119.79","Apr 21, 2025","1,040.24","Nov 22, 2024","21,063.47"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0667418632,P6751A191138C,False,True,True,True,True,True,False,False,True,"484,502","534,472","2,542.5","Apr 27, 2025",262.36,"Nov 29, 2024","2,658.75"
