LP_LOAN_ID,LOANID,SETTINGS_ID,PLACEMENT_STATUS,PLACEMENT_STATUS_STARTDATE,PLACEMENT_STATUS_ENDDATE
100134,PA71F5C272895,100134,Resurgent,2025-07-31,
100145,PA74A7220AB5B,100145,Resurgent,2025-07-31,
96500,PA74E3DF1EAC1,96500,Resurgent,2025-07-31,
100612,PA754C03E7BC3,100612,Resurgent,2025-07-31,
96346,PA76BCE89EB9B,96346,Resurgent,2025-07-31,
98125,PA787214AE3BF,98125,Resurgent,2025-07-31,
99670,PA7AD1FDF201F,99670,Resurgent,2025-07-31,
97772,PA7C1DE32F8B6,97772,Resurgent,2025-07-31,
98972,PA7EB9A64723E,98972,Resurgent,2025-07-31,
99000,PA7F384D58A3A,99000,Resurgent,2025-07-31,
97804,PA807C2505E84,97804,Resurgent,2025-07-31,
66651,PA8115A6FDB3E,66651,Resurgent,2025-07-31,
99416,PA8247FB0D355,99416,Resurgent,2025-07-31,
99491,PA8296DFFCCD4,99491,Resurgent,2025-07-31,
97013,PA85C4A6AE489,97013,Resurgent,2025-07-31,
100545,PA87B2A70AC97,100545,Resurgent,2025-07-31,
66936,PA8DFDB9415DC,66936,Resurgent,2025-07-31,
96929,PA8F493071974,96929,Resurgent,2025-07-31,
100543,PA8F95C8E2FBD,100543,Resurgent,2025-07-31,
97190,PA903CB7AFCE4,97190,Resurgent,2025-07-31,
99258,PA913DBAD38FC,99258,Resurgent,2025-07-31,
99400,PA96C235E0E11,99400,Resurgent,2025-07-31,
97045,PA97E199D85D8,97045,Resurgent,2025-07-31,
72299,PA982C4519360,72299,Resurgent,2025-07-31,
99413,PA9AE7A2A08F9,99413,Resurgent,2025-07-31,
99690,PA9C342D5F912,99690,Resurgent,2025-07-31,
98911,PA9E0AFC222FA,98911,Resurgent,2025-07-31,
99355,PA9FB15234F06,99355,Resurgent,2025-07-31,
98248,PAA01120CAE89,98248,Resurgent,2025-07-31,
100574,PAA1657A20B58,100574,Resurgent,2025-07-31,
72200,PAA28110BFCE6,72200,Resurgent,2025-07-31,
69835,PAA282DE31062,69835,Resurgent,2025-07-31,
67498,PAA3D3DD07249,67498,Resurgent,2025-07-31,
97436,PAA3DA3579CF6,97436,Resurgent,2025-07-31,
98274,PAA4A063B57C0,98274,Resurgent,2025-07-31,
99003,PAAB4BB0507BE,99003,Resurgent,2025-07-31,
98043,PAAE3562B35F9,98043,Resurgent,2025-07-31,
98305,PAAFC120F8C3F,98305,Resurgent,2025-07-31,
99957,PAB07E07DCA69,99957,Resurgent,2025-07-31,
73364,PAB44C91A0993,73364,Resurgent,2025-07-31,
68285,PAB516A45B78B,68285,Resurgent,2025-07-31,
98747,PAB78B4E844AE,98747,Resurgent,2025-07-31,
67756,PABBBEA34CAB1,67756,Resurgent,2025-07-31,
100421,PABBF402C0F41,100421,Resurgent,2025-07-31,
97764,PABC96A6504D2,97764,Resurgent,2025-07-31,
99886,PABCE1158A955,99886,Resurgent,2025-07-31,
98183,PABD85A062999,98183,Resurgent,2025-07-31,
99973,PABDA906011A0,99973,Resurgent,2025-07-31,
97362,PAC06757062DE,97362,Resurgent,2025-07-31,
97296,PAC1C79072A39,97296,Resurgent,2025-07-31,
98117,PAC2EE487C9DB,98117,Resurgent,2025-07-31,
100077,PAC7F66355593,100077,Resurgent,2025-07-31,
100020,PAC8A92AD1226,100020,Resurgent,2025-07-31,
68370,PACA79A9FE3AC,68370,Resurgent,2025-07-31,
69289,PACAAA7BCC4D9,69289,Resurgent,2025-07-31,
70578,PACAAC853921E,70578,Resurgent,2025-07-31,
100452,PACB87667B4B9,100452,Resurgent,2025-07-31,
97057,PACC753BD604B,97057,Resurgent,2025-07-31,
97829,PACD1DD299553,97829,Resurgent,2025-07-31,
99671,PACE1217637D1,99671,Resurgent,2025-07-31,
98866,PACE419809F0D,98866,Resurgent,2025-07-31,
99259,PACFBBC30C10B,99259,Resurgent,2025-07-31,
100581,PAD09A09E8147,100581,Resurgent,2025-07-31,
98170,PAD1C2DC50796,98170,Resurgent,2025-07-31,
97792,PAD589224BA28,97792,Resurgent,2025-07-31,
70331,PAD70FB6EFD35,70331,Resurgent,2025-07-31,
98200,PAD77AA325B1F,98200,Resurgent,2025-07-31,
97809,PAD823C9BD57A,97809,Resurgent,2025-07-31,
97233,PADB8B18BA690,97233,Resurgent,2025-07-31,
100202,PADC88BAE5D0D,100202,Resurgent,2025-07-31,
99384,PADCA9933B392,99384,Resurgent,2025-07-31,
71587,PAE0078D7B439,71587,Resurgent,2025-07-31,
70491,PAE0591A6080E,70491,Resurgent,2025-07-31,
67602,PAE1616185B64,67602,Resurgent,2025-07-31,
100076,PAE2EA0A9F101,100076,Resurgent,2025-07-31,
99470,PAE46C2C91ABD,99470,Resurgent,2025-07-31,
100414,PAE60CC49AE48,100414,Resurgent,2025-07-31,
96516,PAE978BD48E68,96516,Resurgent,2025-07-31,
98160,PAEBB525D136F,98160,Resurgent,2025-07-31,
96883,PAF3FFF88ED0D,96883,Resurgent,2025-07-31,
