CHANNEL,APP_ID,GUID,APP_DT,APP_TS,AFFILIATE_NAME,APP_STATUS,AUTOMATED_FRAUD_DECLINE_YN,MANUAL_FRAUD_DECLINE_YN
Non-API,2911275,3450c70f-0622-4492-ace4-35e523a467e2,2025-07-22,2025-07-22T11:07:43,TU,Started,N,N
Non-API,2921063,8b167e35-7821-4c3a-96e8-9a4b003d1a80,2025-07-23,2025-07-23T18:16:24,TU,Started,N,N
Non-API,2919989,815577b5-a7bb-4007-b099-656c10b77fa9,2025-07-23,2025-07-23T15:20:12,KOVO,Started,N,N
Non-API,2913423,5c274729-fb69-48e4-91ab-296b892a1ceb,2025-07-22,2025-07-22T15:08:48,,Fraud Rejected,Y,N
Non-API,2892754,28272223-00a7-4dde-8ae4-2660decc6737,2025-07-19,2025-07-19T01:46:33,CREDITKARMA_LIGHTBOX,Started,N,N
Non-API,2897948,4fced843-5315-42a4-bb1c-819928f5625c,2025-07-20,2025-07-20T07:50:01,,Fraud Rejected,Y,N
Non-API,2915245,9ab53faf-1a5f-40e6-b645-a026fa974032,2025-07-22,2025-07-22T20:37:55,,Started,N,N
Non-API,2920526,8efff545-b43a-4da9-868d-b2e358f20f5c,2025-07-23,2025-07-23T16:40:26,,Started,N,N
Non-API,2908207,eb908579-f670-4e5b-8825-bc94edd457b5,2025-07-21,2025-07-21T22:25:48,CREDITKARMA_LIGHTBOX,Started,N,N
Non-API,2915119,23c42227-ad80-43dc-9c59-f7b6f93928d6,2025-07-22,2025-07-22T20:07:29,,Started,N,N
Non-API,2899944,ffb96586-782a-4d10-bf34-6d23ee98ac79,2025-07-20,2025-07-20T15:31:51,GOOGLE,Started,N,N
Non-API,2889278,5238006a-7379-4670-8b71-3d50f031214c,2025-07-18,2025-07-18T10:54:06,,Started,N,N
Non-API,2911765,cf921e30-bf6b-4d6d-821b-9d8934bfda32,2025-07-22,2025-07-22T12:07:57,,Fraud Rejected,Y,N
Non-API,2905818,dcc1ff85-193b-476e-ab0b-cc842e5f0f06,2025-07-21,2025-07-21T14:13:26,CREDITKARMA_LIGHTBOX,Started,N,N
Non-API,2889407,488d1e2a-99d5-468e-b0ba-3f13ec99ed8a,2025-07-18,2025-07-18T11:12:14,,Started,N,N
Non-API,2888053,f387c33b-c4e7-4813-bbfc-caa086baa1ad,2025-07-18,2025-07-18T07:59:38,,Fraud Rejected,Y,N
Non-API,2921572,146e870a-7b4e-428f-84e9-9e06c23693ae,2025-07-23,2025-07-23T20:00:05,,Started,N,N
Non-API,2906556,fecc108c-65db-4f06-b13a-fd27a8edd4be,2025-07-21,2025-07-21T16:01:09,TU,ICS,N,N
Non-API,2910522,aee77e0f-b3c3-4619-8725-6980696420f9,2025-07-22,2025-07-22T09:46:12,GOOGLE,Fraud Rejected,Y,N
Non-API,2913767,0f01aa32-3707-4072-a6a9-6b248aafb0d0,2025-07-22,2025-07-22T15:58:04,,Fraud Rejected,Y,N
Non-API,2893476,7c252e4d-6a4d-401d-a78b-1e8f3d3b5f25,2025-07-19,2025-07-19T07:35:46,,Fraud Rejected,Y,N
Non-API,2910600,24e4d97d-3266-4adc-a660-ce4a36cda8d8,2025-07-22,2025-07-22T09:56:31,BING,Started,N,N
Non-API,2893472,ecf9e19b-33f2-49e4-b67a-75c728a04b41,2025-07-19,2025-07-19T07:34:38,TU,ICS,N,N
Non-API,2913184,b2f0b007-d8ed-4799-be3c-1a6d19d4a66b,2025-07-22,2025-07-22T14:39:33,,Fraud Rejected,Y,N
Non-API,2899070,d58a09dc-ba6f-47f6-8f61-c7caacf38239,2025-07-20,2025-07-20T12:10:33,,Started,N,N
Non-API,2896898,efbee42c-b20a-43d2-8386-088933ea9d05,2025-07-19,2025-07-19T20:57:14,GOOGLE,Started,N,N
Non-API,2899825,40ef9dc1-da61-4040-b10e-3c71a61aab52,2025-07-20,2025-07-20T15:06:08,,Started,N,N
Non-API,2916542,cada349e-2ad9-4677-965d-918d73728c4b,2025-07-23,2025-07-23T07:13:06,,Started,N,N
Non-API,2888422,9a48f019-03d5-4885-873a-737f92c96a8b,2025-07-18,2025-07-18T08:55:22,,Fraud Rejected,Y,N
Non-API,2898515,ff51bfa3-1c2f-4aee-bd09-86ae35d76ffc,2025-07-20,2025-07-20T10:03:46,,Started,N,N
Non-API,2897439,b7dd01b3-85f0-4c48-ac91-b3d547d99836,2025-07-20,2025-07-20T04:54:56,GOOGLE,ICS,N,N
Non-API,2906139,56ce7c9e-9dd9-4672-b56b-82ea5f38584e,2025-07-21,2025-07-21T14:58:27,GOOGLE,Started,N,N
Non-API,2903615,83acc8a9-0fa9-4bfc-8469-0ded51955347,2025-07-21,2025-07-21T09:51:37,,Fraud Rejected,Y,N
Non-API,2909757,c2c720d0-3277-466b-a819-22ba7619798f,2025-07-22,2025-07-22T08:16:31,SFMC_ACQUISITION,Started,N,N
Non-API,2887768,d791ac75-0e1a-4d1d-a65a-42da5e8a73ce,2025-07-18,2025-07-18T07:10:31,,Started,N,N
Non-API,2918195,0eb7cd9f-eb44-4bac-80ef-de4a8c82120c,2025-07-23,2025-07-23T11:09:17,GOOGLE,Fraud Rejected,Y,N
Non-API,2903648,d4a5ccfb-dcca-4883-a1fd-bb9ff786fdf9,2025-07-21,2025-07-21T09:54:21,,Started,N,N
Non-API,2888577,2c2f7eae-20d7-47c5-9b16-3c69eff5a5a3,2025-07-18,2025-07-18T09:19:11,GOOGLE,Started,N,N
Non-API,2897125,28a727c5-c170-4a49-970b-bee6f748d297,2025-07-19,2025-07-19T23:02:03,,Started,N,N
Non-API,2914410,1242d1a8-1073-4a68-beec-aa2981c4ff4f,2025-07-22,2025-07-22T17:39:21,KOVO,Started,N,N
Non-API,2921875,8ed0739c-dc25-44a3-81c9-8c5c5c9fa81d,2025-07-23,2025-07-23T21:27:53,,Fraud Rejected,Y,N
Non-API,2892821,95cac3ad-c4ba-4c2d-8a7d-5c47ee1437cc,2025-07-19,2025-07-19T03:09:23,TU,Started,N,N
Non-API,2888027,ba9eb335-9b80-4976-b399-09d3503c2ab2,2025-07-18,2025-07-18T07:53:32,,Fraud Rejected,Y,N
Non-API,2906995,191ead1e-2a92-4949-b17f-5d3c50e2f329,2025-07-21,2025-07-21T17:11:30,IG,Started,N,N
Non-API,2900527,69055179-8204-4506-be3d-fd8076201de0,2025-07-20,2025-07-20T17:59:03,,Started,N,N
Non-API,2901609,0014891e-ecdc-4c65-81a3-c3add4b42490,2025-07-21,2025-07-21T02:11:48,GOOGLE,Started,N,N
Non-API,2901383,2d0a3c70-1341-4546-bd9a-589e401c2f03,2025-07-20,2025-07-20T22:23:40,,Fraud Rejected,Y,N
Non-API,2894599,1f4d27a8-9f2b-418d-8163-de4562aba42a,2025-07-19,2025-07-19T11:11:05,,Started,N,N
Non-API,2896089,06cb1ea3-7ad8-44d2-8bc4-18ba12db74a3,2025-07-19,2025-07-19T16:39:15,,Fraud Rejected,Y,N
Non-API,2921602,ab998271-2d15-4b38-be9e-787ac066e71a,2025-07-23,2025-07-23T20:08:38,,Started,N,N
Non-API,2910269,eeb704a9-4972-4e4e-8a53-eb10d67248f8,2025-07-22,2025-07-22T09:17:50,,Started,N,N
Non-API,2919629,89d1976f-9d6a-4427-a80a-00eaa2157948,2025-07-23,2025-07-23T14:25:44,TU,Started,N,N
Non-API,2916866,71fad07a-da71-40a8-89ce-6bd053b621b2,2025-07-23,2025-07-23T08:07:36,TU,Started,N,N
Non-API,2890429,0bce0c32-b390-411d-9b76-d1c1dbd6bdc8,2025-07-18,2025-07-18T13:40:08,GOOGLE,Fraud Rejected,Y,N
Non-API,2921262,458bb109-9650-4142-957a-33508f0afffa,2025-07-23,2025-07-23T18:55:38,,Fraud Rejected,Y,N
Non-API,2890326,88589bc0-25fb-4ddc-a22b-0979ce474b43,2025-07-18,2025-07-18T13:25:55,,Started,N,N
Non-API,2898150,28875a92-1497-4c3b-a87d-9a9220c3217e,2025-07-20,2025-07-20T08:40:32,GOOGLE,Fraud Rejected,Y,N
Non-API,2892133,1cec16a3-b8f5-41a1-8445-520707918990,2025-07-18,2025-07-18T19:19:10,GOOGLE,Fraud Rejected,Y,N
Non-API,2887227,c9f43341-5ea6-4d0f-8b01-2e70e1c8e666,2025-07-18,2025-07-18T04:55:29,,Started,N,N
Non-API,2920229,6751ad0d-5f4f-4b3d-b82f-f52391bfb902,2025-07-23,2025-07-23T15:56:26,,Started,N,N
Non-API,2901884,1112de46-cdba-4ff0-9cd4-12f220552210,2025-07-21,2025-07-21T05:10:52,TU,Started,N,N
Non-API,2915678,59a50c24-5be9-49b9-aa32-fdfc7e5489b3,2025-07-23,2025-07-23T00:56:46,GOOGLE,Fraud Rejected,Y,N
