LOAN_ID,LEGACY_LOAN_ID,LEAD_GUID,PLACEMENT_STATUS,CHARGEOFF_DATE,CHARGEOFF_PRINCIPAL_AMOUNT,SETTLEMENT_STATUS,SETTLEMENT_ACCEPTED_DATE,SETTLEMENT_COMPLETION_DATE,SETTLEMENT_AMOUNT,SETTLEMENT_AMOUNT_PAID
113339,P31ab8e06455b,9adf3ae3-45ee-65b1-9831-31ab8e06455b,Bounce,2023-10-26,4968.29,Complete,,,,
114003,Pd22cd3ebff33,247b1bc7-8c67-4896-6869-d22cd3ebff33,Bounce,2023-10-26,2616.33,Complete,,,,
109662,P3db77d5a589c,b4921aa4-86e8-6545-e559-3db77d5a589c,Bounce,2023-10-26,23118.77,Complete,,,,
122415,P6bded854d0ea,84bf4902-b256-9333-c2c5-6bded854d0ea,Bounce,2023-10-24,23259.63,Active,,,,
120193,P512b9726a60a,c33ef51d-42af-519c-73de-512b9726a60a,Bounce,2023-10-23,18344.76,Active,,,,
121712,Pe8c9a331c806,2af02742-c63f-9d74-44d9-e8c9a331c806,Bounce,2023-10-20,18157.65,Active,,,,
108757,Peefc9e4e98b3,cbe77a17-2f6b-a306-90fe-eefc9e4e98b3,Bounce,2023-10-19,26381.68,Active,,,,
120123,Pbc57122dd841,c5911ac0-6884-aaee-628c-bc57122dd841,Bounce,2023-10-18,13719.45,Active,,,,
120607,Pae733eba5dc6,76355508-9c5a-24c1-fcdb-ae733eba5dc6,Bounce,2023-10-17,5777.62,Active,,,,
116672,P6e1d7ae81e82,70ee03f3-01a5-725a-9152-6e1d7ae81e82,Bounce,2023-10-16,5357.90,Active,,,,
113620,Pc404056e48b4,68eef9cf-885e-52b9-be31-c404056e48b4,Bounce,2023-10-15,2007.33,Active,,,,
106951,P59e3ee369b89,67e3410a-9854-228a-5261-59e3ee369b89,Bounce,2023-10-14,7654.71,Complete,,,,
123208,P207dcca029ae,ffe86caa-bbe2-42db-986d-207dcca029ae,Bounce,2023-10-12,13378.30,Complete,,,,
123887,P43017f98775a,9bf96216-5844-224e-836c-43017f98775a,Bounce,2023-10-08,32664.10,Active,,,,
118091,P3816ee590938,d0a2d6c7-8c07-ba67-a2b7-3816ee590938,Bounce,2023-10-07,10244.53,Active,,,,
112378,Pe6e2c3a27d5e,df6520ca-6bc0-e90d-9518-e6e2c3a27d5e,Bounce,2023-10-07,3114.63,Active,,,,
121244,Pa51cf0ac0f10,9480e728-6797-33a9-30fd-a51cf0ac0f10,Bounce,2023-10-07,20429.48,Active,,,,
105193,Pcf48a77c15a2,43af1270-dd50-8764-a594-cf48a77c15a2,Bounce,2023-10-03,3267.07,Active,,,,
111597,P7872646cf4b4,aeadbf53-d0ed-ce9c-3f76-7872646cf4b4,Bounce,2023-10-01,7759.63,Active,,,,
121039,Pbfdfe03fd04a,6e74a2ea-5283-7203-b02d-bfdfe03fd04a,Bounce,2023-09-30,17992.14,Complete,,,,
118148,Pf358a4123207,be16bf9b-fbba-73ea-be80-f358a4123207,Bounce,2023-09-29,12875.85,Complete,,,,
106860,Pe75c635ba0c0,66ce1673-cbe8-d713-b2ea-e75c635ba0c0,Bounce,2023-09-25,3476.73,Active,,,,
109988,P1787ce85e1c5,e991d955-4f8b-0b19-e768-1787ce85e1c5,Bounce,2023-09-19,11758.93,Complete,,,,
122328,P88a9184961c2,909cd117-c264-574e-97b6-88a9184961c2,Bounce,2023-09-16,21817.73,Complete,,,,
120338,P6dd8ca4c1176,f317f701-3e5d-c827-054f-6dd8ca4c1176,Bounce,2023-09-12,7011.11,Active,,,,
